"skill_id","skills","demand_count","salary_year_avg"
76,"aws","191","138087.50"
79,"oracle","175","124891.67"
61,"sql server","272","120378.50"
74,"azure","476","115826.40"
196,"powerpoint","383","105837.50"
105,"gdpr","215","105000.00"
184,"dax","198","105000.00"
183,"power bi","2010","102025.00"
195,"sharepoint","119","100500.00"
215,"flow","150","99383.00"
197,"ssrs","127","98500.00"
185,"looker","124","97534.20"
1,"python","1385","96618.88"
0,"sql","3072","93984.84"
5,"r","710","90473.43"
22,"vba","239","85925.00"
188,"word","369","85750.00"
182,"tableau","1077","84361.50"
181,"excel","3071","83892.00"
80,"snowflake","125","80850.00"
8,"go","376","74125.43"
186,"sas","248","71067.67"
7,"sas","248","71067.67"
198,"outlook","152","69404.67"
26,"c","137","51014.00"
